video_id,is_anomaly,class_name,start_time_sec,end_time_sec,description_summary
TR01050,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01051,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01052,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01053,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01054,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01055,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01056,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01057,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01058,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01059,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01060,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01061,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01062,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01063,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01064,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01065,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01066,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01067,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01068,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01069,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01070,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01071,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01072,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01073,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01074,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01075,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01076,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01077,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01078,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01079,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01080,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01081,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01082,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01083,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01084,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01085,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01086,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01087,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01088,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01089,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01090,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01091,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01092,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01093,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01094,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01095,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01096,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01097,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01098,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
TR01099,true,loitering_or_suspicious_presence,0.000,30.000,A person remains in the aerial scene for an anomalously prolonged period.
