video_id,is_anomaly,class_name,start_time_sec,end_time_sec,description_summary
TR01850,false,normal,,,Normal road traffic with no target anomaly.
TR01851,false,normal,,,Routine aerial activity with no target anomaly.
TR01852,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01853,false,normal,,,Routine aerial activity with no target anomaly.
TR01854,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01855,false,normal,,,Routine aerial activity with no target anomaly.
TR01856,false,normal,,,Routine aerial activity with no target anomaly.
TR01857,false,normal,,,Routine activity with no target anomaly.
TR01858,false,normal,,,Routine activity with no target anomaly.
TR01859,false,normal,,,Routine activity with no target anomaly.
TR01860,false,normal,,,Routine moving-drone footage with no labeled target anomaly.
TR01861,false,normal,,,Routine aerial activity with no target anomaly.
TR01862,false,normal,,,Routine activity with no target anomaly.
TR01863,false,normal,,,Routine aerial activity with no target anomaly.
TR01864,false,normal,,,Routine activity with no target anomaly.
TR01865,false,normal,,,"Routine aerial road, vehicle, and pedestrian activity."
TR01866,false,normal,,,Routine activity with no target anomaly.
TR01867,false,normal,,,Routine activity with no target anomaly.
TR01868,false,normal,,,Routine activity with no target anomaly.
TR01869,false,normal,,,Routine activity with no target anomaly.
TR01870,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01871,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01872,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01873,false,normal,,,Routine aerial activity with no target anomaly.
TR01874,false,normal,,,Routine activity with no target anomaly.
TR01875,false,normal,,,Routine activity with no target anomaly.
TR01876,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01877,false,normal,,,Routine aerial activity with no target anomaly.
TR01878,false,normal,,,Routine activity with no target anomaly.
TR01879,false,normal,,,Routine activity with no target anomaly.
TR01880,false,normal,,,Routine aerial activity with no target anomaly.
TR01881,false,normal,,,Routine moving-drone footage with no labeled target anomaly.
TR01882,false,normal,,,Routine activity with no target anomaly.
TR01883,false,normal,,,Routine aerial activity with no target anomaly.
TR01884,false,normal,,,Normal road traffic with no target anomaly.
TR01885,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01886,false,normal,,,Normal road traffic with no target anomaly.
TR01887,false,normal,,,Normal road traffic with no target anomaly.
TR01888,false,normal,,,Routine aerial activity with no target anomaly.
TR01889,false,normal,,,Routine activity with no target anomaly.
TR01890,false,normal,,,Routine activity with no target anomaly.
TR01891,false,normal,,,Routine activity with no target anomaly.
TR01892,false,normal,,,Routine activity with no target anomaly.
TR01893,false,normal,,,Routine moving-drone footage with no labeled target anomaly.
TR01894,false,normal,,,Routine aerial activity with no target anomaly.
TR01895,false,normal,,,Routine activity with no target anomaly.
TR01896,false,normal,,,Routine aerial activity with no target anomaly.
TR01897,false,normal,,,Routine aerial activity with no target anomaly.
TR01898,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01899,false,normal,,,Normal road traffic with no target anomaly.
TR01900,false,normal,,,Routine activity with no target anomaly.
TR01901,false,normal,,,Routine activity with no target anomaly.
TR01902,false,normal,,,Normal road traffic with no target anomaly.
TR01903,false,normal,,,Routine activity with no target anomaly.
TR01904,false,normal,,,Routine activity with no target anomaly.
TR01905,false,normal,,,Routine activity with no target anomaly.
TR01906,false,normal,,,Routine activity with no target anomaly.
TR01907,false,normal,,,Routine activity with no target anomaly.
TR01908,false,normal,,,Routine activity with no target anomaly.
TR01909,false,normal,,,Routine aerial activity with no target anomaly.
TR01910,false,normal,,,Routine aerial activity with no target anomaly.
TR01911,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01912,false,normal,,,Normal road traffic with no target anomaly.
TR01913,false,normal,,,Routine activity with no target anomaly.
TR01914,false,normal,,,Routine activity with no target anomaly.
TR01915,false,normal,,,Routine activity with no target anomaly.
TR01916,false,normal,,,Routine aerial activity with no target anomaly.
TR01917,false,normal,,,Routine activity with no target anomaly.
TR01918,false,normal,,,Routine activity with no target anomaly.
TR01919,false,normal,,,Routine aerial activity with no target anomaly.
TR01920,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01921,false,normal,,,Routine aerial activity with no target anomaly.
TR01922,false,normal,,,Routine activity with no target anomaly.
TR01923,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01924,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01925,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01926,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01927,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01928,false,normal,,,Routine aerial activity with no target anomaly.
TR01929,false,normal,,,Normal road traffic with no target anomaly.
TR01930,false,normal,,,Routine aerial activity with no target anomaly.
TR01931,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01932,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01933,false,normal,,,Routine aerial activity with no target anomaly.
TR01934,false,normal,,,Routine aerial activity with no target anomaly.
TR01935,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01936,false,normal,,,Routine aerial activity with no target anomaly.
TR01937,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01938,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01939,false,normal,,,Routine moving-drone footage with no labeled target anomaly.
TR01940,false,normal,,,Routine aerial activity with no target anomaly.
TR01941,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01942,false,normal,,,Routine aerial activity with no target anomaly.
TR01943,false,normal,,,Routine aerial activity with no target anomaly.
TR01944,false,normal,,,Routine activity with no target anomaly.
TR01945,false,normal,,,Routine aerial activity with no target anomaly.
TR01946,false,normal,,,Normal traffic flows through a fixed CCTV scene.
TR01947,false,normal,,,Routine activity with no target anomaly.
TR01948,false,normal,,,Routine activity with no target anomaly.
TR01949,false,normal,,,Routine aerial activity with no target anomaly.
TR01950,false,normal,,,Routine activity with no target anomaly.
TR01951,false,normal,,,Routine activity with no target anomaly.
TR01952,false,normal,,,Routine aerial activity with no target anomaly.
TR01953,false,normal,,,Routine activity with no target anomaly.
TR01954,false,normal,,,Normal road traffic with no target anomaly.
TR01955,false,normal,,,Routine activity with no target anomaly.
TR01956,false,normal,,,Routine activity with no target anomaly.
TR01957,false,normal,,,Routine activity with no target anomaly.
TR01958,false,normal,,,Routine activity with no target anomaly.
TR01959,false,normal,,,Routine activity with no target anomaly.
