video_id,is_anomaly,class_name,start_time_sec,end_time_sec,description_summary
TR01350,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01351,true,traffic_accident,0.000,5.792,A traffic collision is visible from an aerial viewpoint.
TR01352,true,traffic_accident,0.400,2.000,"A motorcycle carrying two riders enters the frame and collides directly with the rear of a dark-colored pickup truck parked stationary in lane 4. The force of the impact violently throws both riders from the vehicle onto the road surface, where they remain motionless. The cause of the accident is the motorcycle rider's failure to maintain a proper lookout and react to the stationary obstacle ahead, resulting in a high-impact rear-end collision."
TR01353,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01354,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01355,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01356,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01357,true,traffic_accident,3.000,4.340,A dark-colored sedan traveling in the third lane fails to stop in time and rear-ends a light-colored sedan that had slowed down in front of it. The force of the impact is sufficient to push the light-colored sedan forward and straight out of the frame. This collision was caused by the driver of the dark-colored sedan failing to maintain a safe following distance or react appropriately to the slowing vehicle ahead.
TR01358,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01359,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01360,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01361,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01362,true,traffic_accident,3.000,9.000,"A motorcycle carrying two people collides with the rear of a parked maroon scooter on the left side of the street, causing the motorcycle to lose balance and tip over. The rider and passenger both fall to the ground upon impact, while the parked scooter is bumped forward slightly but remains upright. The accident is caused by the motorcycle rider's failure to maintain a safe trajectory or brake in time to avoid the stationary object, indicating a misjudgment of space in the narrow roadway."
TR01363,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01364,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01365,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01366,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01367,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01368,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01369,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01370,true,traffic_accident,3.000,15.600,"A pedestrian in a light top and dark pants jaywalks across a multi-lane road from left to right, walking directly into the path of oncoming traffic. This forced a gray car in the first lane to come to a full stop at 00:21.46 and a gray sedan in the second lane to stop at 00:24.46 to avoid a collision. The root cause of the anomaly is the pedestrian's failure to use a designated crosswalk and their disregard for the right-of-way of the moving vehicles, resulting in a dangerous near-miss."
TR01371,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01372,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01373,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01374,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01375,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01376,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01377,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01378,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01379,true,traffic_accident,2.840,4.580,"A white sedan traveling from right to left collides with a white van moving from the bottom of the frame, resulting in a violent T-bone collision in the middle of the intersection. The impact deflects the white van toward the left and sends the white sedan careening toward the right, where it flips upside down behind the curb. This anomaly was caused by a severe failure to yield the right-of-way, as both vehicles attempted to cross the intersection straight simultaneously, with the high speed of the sedan contributing to the severity of the crash."
TR01380,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01381,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01382,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01383,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01384,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01385,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01386,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01387,true,traffic_accident,0.000,5.667,A traffic collision is visible from an aerial viewpoint.
TR01388,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01389,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01390,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01391,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01392,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01393,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01394,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01395,true,traffic_accident,0.000,5.709,A traffic collision is visible from an aerial viewpoint.
TR01396,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01397,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01398,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01399,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01400,true,traffic_accident,3.000,5.330,"A white hatchback traveling at high speed collides in a T-bone impact with a black motorcycle that is stopped at a median opening. The force of the collision violently throws the rider, who is wearing a black shirt, onto the pavement and deflects the motorcycle into an active traffic lane. The hatchback fails to stop and continues driving straight, leaving the scene. The accident was caused by the white hatchback overspeeding and the driver's failure to avoid the stationary motorcyclist."
TR01401,true,traffic_accident,0.340,1.540,"A black SUV entering from a side street on the right fails to yield the right-of-way and turns right directly into the path of an oncoming motorcycle carrying two riders. This results in a T-bone collision in lane 2, where the motorcycle strikes the front driver's side of the SUV. The force of the impact violently ejects both riders from the motorcycle, throwing them onto lane 1, while the SUV is brought to an abrupt halt."
TR01402,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01403,true,traffic_accident,0.000,5.000,A traffic collision occurs.
TR01404,true,traffic_accident,0.000,5.792,A traffic collision is visible from an aerial viewpoint.
