video_id,is_anomaly,class_name,start_time_sec,end_time_sec,description_summary
TR00415,true,waterlogging_or_flood,0.000,5.792,Flooding or waterlogging is visible from an aerial viewpoint.
TR00416,true,waterlogging_or_flood,0.000,5.792,Flooding or waterlogging is visible from an aerial viewpoint.
TR00417,true,waterlogging_or_flood,0.000,5.750,Flooding or waterlogging is visible from an aerial viewpoint.
TR00418,true,waterlogging_or_flood,0.000,5.709,Flooding or waterlogging is visible from an aerial viewpoint.
TR00419,true,waterlogging_or_flood,0.000,5.709,Flooding or waterlogging is visible from an aerial viewpoint.
TR00420,true,waterlogging_or_flood,0.000,5.750,Flooding or waterlogging is visible from an aerial viewpoint.
TR00421,true,waterlogging_or_flood,0.000,5.750,Flooding or waterlogging is visible from an aerial viewpoint.
TR00422,true,waterlogging_or_flood,0.000,5.667,Flooding or waterlogging is visible from an aerial viewpoint.
TR00423,true,waterlogging_or_flood,0.000,5.709,Flooding or waterlogging is visible from an aerial viewpoint.
TR00424,true,waterlogging_or_flood,0.000,5.792,Flooding or waterlogging is visible from an aerial viewpoint.
TR00425,true,waterlogging_or_flood,0.000,5.750,Flooding or waterlogging is visible from an aerial viewpoint.
TR00426,true,waterlogging_or_flood,0.000,5.750,Flooding or waterlogging is visible from an aerial viewpoint.
TR00427,true,waterlogging_or_flood,0.000,5.542,Flooding or waterlogging is visible from an aerial viewpoint.
TR00428,true,waterlogging_or_flood,0.000,5.750,Flooding or waterlogging is visible from an aerial viewpoint.
TR00429,true,waterlogging_or_flood,0.000,5.750,Flooding or waterlogging is visible from an aerial viewpoint.
TR00430,true,waterlogging_or_flood,0.000,5.667,Flooding or waterlogging is visible from an aerial viewpoint.
TR00431,true,waterlogging_or_flood,0.000,5.750,Flooding or waterlogging is visible from an aerial viewpoint.
TR00432,true,waterlogging_or_flood,0.000,5.792,Flooding or waterlogging is visible from an aerial viewpoint.
TR00433,true,waterlogging_or_flood,0.000,5.667,Flooding or waterlogging is visible from an aerial viewpoint.
TR00434,true,waterlogging_or_flood,0.000,5.459,Flooding or waterlogging is visible from an aerial viewpoint.
TR00435,true,waterlogging_or_flood,0.000,5.667,Flooding or waterlogging is visible from an aerial viewpoint.
TR00436,true,waterlogging_or_flood,0.000,5.792,Flooding or waterlogging is visible from an aerial viewpoint.
TR00437,true,waterlogging_or_flood,0.000,5.667,Flooding or waterlogging is visible from an aerial viewpoint.
TR00438,true,waterlogging_or_flood,0.000,5.667,Flooding or waterlogging is visible from an aerial viewpoint.
TR00439,true,waterlogging_or_flood,0.000,5.584,Flooding or waterlogging is visible from an aerial viewpoint.
TR00440,true,waterlogging_or_flood,0.000,5.709,Flooding or waterlogging is visible from an aerial viewpoint.
TR00441,true,waterlogging_or_flood,0.000,5.667,Flooding or waterlogging is visible from an aerial viewpoint.
TR00442,true,waterlogging_or_flood,0.000,5.709,Flooding or waterlogging is visible from an aerial viewpoint.
